"";"Gender";"Age";"Attitude";"Deep";"Stra";"Surf";"Points"
"1";"F";53;3,7;3,5;3,375;2,58333333333333;25
"2";"M";55;3,1;3,125;2,75;3,16666666666667;12
"3";"F";49;2,5;3,25;3,625;2,25;24
"4";"M";53;3,5;3,375;3,125;2,25;10
"5";"M";49;3,7;3,75;3,625;2,83333333333333;22
"6";"F";38;3,8;4,625;3,625;2,41666666666667;21
"7";"M";50;3,5;3,625;2,25;1,91666666666667;21
"8";"F";37;2,9;3,25;4;2,83333333333333;31
"9";"M";37;3,8;4,375;4,25;2,16666666666667;24
"10";"F";42;2,1;4;3,5;3;26
"11";"M";37;3,9;3,625;3,625;2,66666666666667;31
"12";"F";34;3,8;4;4,75;2,41666666666667;31
"13";"F";34;2,4;4,25;3,625;2,25;23
"14";"F";34;3;2,875;3,5;2,75;25
"15";"M";35;2,6;4;1,75;2,33333333333333;21
"16";"F";33;4,1;3,875;3,875;2,33333333333333;31
"17";"F";32;2,6;3,75;1,375;2,91666666666667;20
"18";"F";44;2,6;3,75;3,25;2,5;22
"19";"M";29;1,7;4,125;3;3,75;9
"20";"F";30;2,7;3,875;3,75;2,75;24
"21";"M";27;3,9;3,875;2,625;2,33333333333333;28
"22";"M";29;3,4;4;2,375;2,41666666666667;30
"23";"F";31;2,7;4;3,625;3;24
"24";"F";37;2,3;3,5;2,75;2,41666666666667;9
"25";"F";26;3,7;3,75;1,75;2,83333333333333;26
"26";"F";26;4,4;4,625;3,25;3,16666666666667;32
"27";"M";30;4,1;3,875;4;3;32
"28";"F";33;3,7;3,75;3,625;2;33
"29";"F";33;2,5;3,25;2,875;3,5;29
"30";"M";28;3;3,75;3;3,75;30
"31";"M";26;3,4;4,875;1,625;2,5;19
"32";"F";27;3,2;3,375;3,25;2,08333333333333;23
"33";"F";25;2;2,625;3,5;2,41666666666667;19
"34";"F";31;2,4;3,75;3;2,58333333333333;12
"35";"M";20;4,2;4,5;3,25;1,58333333333333;10
"36";"F";39;1,6;3,875;1,875;2,83333333333333;11
"37";"M";38;3,1;3,875;4,375;1,83333333333333;20
"38";"M";24;3,8;2,875;3,625;2,41666666666667;26
"39";"M";26;3,8;2,125;2,5;3,25;31
"40";"M";25;3,3;3,125;1,25;3,41666666666667;20
"41";"F";30;1,7;4,375;4;3,41666666666667;23
"42";"F";25;2,5;2,75;3;3,16666666666667;12
"43";"M";30;3,2;3,125;2,5;3,5;24
"44";"F";48;3,5;4;4,875;2,66666666666667;17
"45";"F";24;3,2;3,5;5;2,41666666666667;29
"46";"F";40;4,2;4,5;4,375;3,58333333333333;23
"47";"M";25;3,1;3,25;3,25;2,08333333333333;28
"48";"F";23;3,9;3,75;4;3,75;31
"49";"F";25;1,9;4;3,125;2,91666666666667;23
"50";"F";23;2,1;3,125;2,5;2,91666666666667;25
"51";"M";27;2,5;4;3,125;2,41666666666667;18
"52";"M";25;3,2;3,625;3,25;3;19
"53";"M";23;3,2;2,75;2,125;3,41666666666667;22
"54";"F";23;2,6;4;2,75;2,91666666666667;25
"55";"F";23;2,3;2,875;2,375;3,25;21
"56";"F";45;3,8;2,375;3,125;3,25;9
"57";"F";22;2,8;4,125;4;2,33333333333333;28
"58";"F";23;3,3;3;4;3,25;25
"59";"M";21;4,8;3,25;2,25;2,5;29
"60";"M";21;4;4,125;3,25;1,75;33
