ID,Group,WD,Weight,Time
1,1,WD1,240,1
2,1,WD1,225,1
3,1,WD1,245,1
4,1,WD1,260,1
5,1,WD1,255,1
6,1,WD1,260,1
7,1,WD1,275,1
8,1,WD1,245,1
9,2,WD1,410,1
10,2,WD1,405,1
11,2,WD1,445,1
12,2,WD1,555,1
13,3,WD1,470,1
14,3,WD1,535,1
15,3,WD1,520,1
16,3,WD1,510,1
1,1,WD8,250,8
2,1,WD8,230,8
3,1,WD8,250,8
4,1,WD8,255,8
5,1,WD8,260,8
6,1,WD8,265,8
7,1,WD8,275,8
8,1,WD8,255,8
9,2,WD8,415,8
10,2,WD8,420,8
11,2,WD8,445,8
12,2,WD8,560,8
13,3,WD8,465,8
14,3,WD8,525,8
15,3,WD8,525,8
16,3,WD8,510,8
1,1,WD15,255,15
2,1,WD15,230,15
3,1,WD15,250,15
4,1,WD15,255,15
5,1,WD15,255,15
6,1,WD15,270,15
7,1,WD15,260,15
8,1,WD15,260,15
9,2,WD15,425,15
10,2,WD15,430,15
11,2,WD15,450,15
12,2,WD15,565,15
13,3,WD15,475,15
14,3,WD15,530,15
15,3,WD15,530,15
16,3,WD15,520,15
1,1,WD22,260,22
2,1,WD22,232,22
3,1,WD22,255,22
4,1,WD22,265,22
5,1,WD22,270,22
6,1,WD22,275,22
7,1,WD22,270,22
8,1,WD22,268,22
9,2,WD22,428,22
10,2,WD22,440,22
11,2,WD22,452,22
12,2,WD22,580,22
13,3,WD22,485,22
14,3,WD22,533,22
15,3,WD22,540,22
16,3,WD22,515,22
1,1,WD29,262,29
2,1,WD29,240,29
3,1,WD29,262,29
4,1,WD29,265,29
5,1,WD29,270,29
6,1,WD29,275,29
7,1,WD29,273,29
8,1,WD29,270,29
9,2,WD29,438,29
10,2,WD29,448,29
11,2,WD29,455,29
12,2,WD29,590,29
13,3,WD29,487,29
14,3,WD29,535,29
15,3,WD29,543,29
16,3,WD29,530,29
1,1,WD36,258,36
2,1,WD36,240,36
3,1,WD36,265,36
4,1,WD36,268,36
5,1,WD36,273,36
6,1,WD36,277,36
7,1,WD36,274,36
8,1,WD36,265,36
9,2,WD36,443,36
10,2,WD36,460,36
11,2,WD36,455,36
12,2,WD36,597,36
13,3,WD36,493,36
14,3,WD36,540,36
15,3,WD36,546,36
16,3,WD36,538,36
1,1,WD43,266,43
2,1,WD43,243,43
3,1,WD43,267,43
4,1,WD43,270,43
5,1,WD43,274,43
6,1,WD43,278,43
7,1,WD43,276,43
8,1,WD43,265,43
9,2,WD43,442,43
10,2,WD43,458,43
11,2,WD43,451,43
12,2,WD43,595,43
13,3,WD43,493,43
14,3,WD43,525,43
15,3,WD43,538,43
16,3,WD43,535,43
1,1,WD44,266,44
2,1,WD44,244,44
3,1,WD44,267,44
4,1,WD44,272,44
5,1,WD44,273,44
6,1,WD44,278,44
7,1,WD44,271,44
8,1,WD44,267,44
9,2,WD44,446,44
10,2,WD44,464,44
11,2,WD44,450,44
12,2,WD44,595,44
13,3,WD44,504,44
14,3,WD44,530,44
15,3,WD44,544,44
16,3,WD44,542,44
1,1,WD50,265,50
2,1,WD50,238,50
3,1,WD50,264,50
4,1,WD50,274,50
5,1,WD50,276,50
6,1,WD50,284,50
7,1,WD50,282,50
8,1,WD50,273,50
9,2,WD50,456,50
10,2,WD50,475,50
11,2,WD50,462,50
12,2,WD50,612,50
13,3,WD50,507,50
14,3,WD50,543,50
15,3,WD50,553,50
16,3,WD50,550,50
1,1,WD57,272,57
2,1,WD57,247,57
3,1,WD57,268,57
4,1,WD57,273,57
5,1,WD57,278,57
6,1,WD57,279,57
7,1,WD57,281,57
8,1,WD57,274,57
9,2,WD57,468,57
10,2,WD57,484,57
11,2,WD57,466,57
12,2,WD57,618,57
13,3,WD57,518,57
14,3,WD57,544,57
15,3,WD57,555,57
16,3,WD57,553,57
1,1,WD64,278,64
2,1,WD64,245,64
3,1,WD64,269,64
4,1,WD64,275,64
5,1,WD64,280,64
6,1,WD64,281,64
7,1,WD64,284,64
8,1,WD64,278,64
9,2,WD64,478,64
10,2,WD64,496,64
11,2,WD64,472,64
12,2,WD64,628,64
13,3,WD64,525,64
14,3,WD64,559,64
15,3,WD64,548,64
16,3,WD64,569,64
