school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,schoolsup,famsup,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,failures,paid,absences,G1,G2,G3,alc_use,high_use,family.quality,in.class.performance,off.class.performance,social,probability,prediction,random.guess,prediction.guess
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,yes,no,no,yes,yes,no,no,4,3,4,1,1,3,0,no,5,2,8,8,1,FALSE,4,5,Moderate to long study,Frequent,0.29068345276733604,FALSE,0.1000164917204529,FALSE
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,0,no,3,7,8,8,1,FALSE,5,3,Moderate to long study,Infrequent,0.07880612449335736,FALSE,0.9779594410210848,TRUE
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,yes,no,no,yes,yes,yes,no,4,3,2,2,3,3,2,yes,8,10,10,11,2.5,TRUE,4,8,Moderate to long study,Infrequent,0.15496055166288572,FALSE,0.7336134857032448,TRUE
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,yes,1,14,14,14,1,FALSE,3,1,Moderate to long study,Infrequent,0.1427828669391794,FALSE,0.6860794473905116,TRUE
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,no,yes,no,yes,yes,no,no,4,3,2,1,2,5,0,yes,2,8,12,12,1.5,FALSE,4,2,Moderate to long study,Infrequent,0.1066407586916358,FALSE,0.730437291553244,TRUE
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,no,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,0,yes,8,14,14,14,1.5,FALSE,5,8,Moderate to long study,Infrequent,0.14242972845717836,FALSE,0.2504496476612985,FALSE
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,no,0,12,12,12,1,FALSE,4,0,Moderate to long study,Frequent,0.6202104140113653,TRUE,0.3328907380346209,FALSE
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,yes,yes,no,yes,yes,no,no,4,1,4,1,1,1,0,no,4,8,9,10,1,FALSE,4,4,Moderate to long study,Frequent,0.2761542514287113,FALSE,0.8957934023346752,TRUE
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,no,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,yes,0,16,17,18,1,FALSE,4,0,Moderate to long study,Infrequent,0.11669643689269424,FALSE,0.8411862838547677,TRUE
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,yes,0,13,14,14,1,FALSE,5,0,Moderate to long study,Infrequent,0.08567162810134797,FALSE,0.6559986732900143,TRUE
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,no,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,yes,1,12,11,12,1.5,FALSE,3,1,Moderate to long study,Infrequent,0.1427828669391794,FALSE,0.5505384297575802,TRUE
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,no,yes,yes,yes,yes,yes,no,5,2,2,1,1,4,0,no,2,10,12,12,1,FALSE,5,2,Moderate to long study,Infrequent,0.07376582695500794,FALSE,0.14107321691699326,FALSE
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,0,yes,1,13,14,13,2,FALSE,4,1,Light study,Infrequent,0.2022406052669307,FALSE,0.5466590570285916,TRUE
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,no,yes,no,yes,yes,yes,no,5,4,3,1,2,3,0,yes,1,11,11,12,1.5,FALSE,5,1,Moderate to long study,Infrequent,0.09144511394976292,FALSE,0.8497803951613605,TRUE
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,3,0,no,0,14,15,16,1,FALSE,4,0,Moderate to long study,Infrequent,0.11669643689269424,FALSE,0.6533653021324426,TRUE
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,no,yes,no,yes,yes,yes,no,4,4,4,1,2,2,0,no,5,16,16,16,1.5,FALSE,4,5,Light study,Frequent,0.42265720205519774,FALSE,0.8777385521680117,TRUE
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,no,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,0,yes,8,13,14,14,1.5,FALSE,3,8,Moderate to long study,Infrequent,0.21559831603569368,FALSE,0.3049421599134803,FALSE
