gender,age,attitude,deep,stra,surf,points
Female,53,3.7,3.5833333333333335,3.375,2.5833333333333335,25
Male,55,3.1,2.9166666666666665,2.75,3.1666666666666665,12
Female,49,2.5,3.5,3.625,2.25,24
Male,53,3.5,3.5,3.125,2.25,10
Male,49,3.7,3.6666666666666665,3.625,2.8333333333333335,22
Female,38,3.8,4.75,3.625,2.4166666666666665,21
Male,50,3.5,3.8333333333333335,2.25,1.9166666666666667,21
Female,37,2.9,3.25,4,2.8333333333333335,31
Male,37,3.8,4.333333333333333,4.25,2.1666666666666665,24
Female,42,2.1,4,3.5,3,26
Male,37,3.9,3.5833333333333335,3.625,2.6666666666666665,31
Female,34,3.8,3.8333333333333335,4.75,2.4166666666666665,31
Female,34,2.4,4.25,3.625,2.25,23
Female,34,3,3.3333333333333335,3.5,2.75,25
Male,35,2.6,4.166666666666667,1.75,2.3333333333333335,21
Female,33,4.1,3.6666666666666665,3.875,2.3333333333333335,31
Female,32,2.6,4.083333333333333,1.375,2.9166666666666665,20
Female,44,2.6,3.5,3.25,2.5,22
Male,29,1.7,4.083333333333333,3,3.75,9
Female,30,2.7,4,3.75,2.75,24
Male,27,3.9,3.9166666666666665,2.625,2.3333333333333335,28
Male,29,3.4,4,2.375,2.4166666666666665,30
Female,31,2.7,4,3.625,3,24
Female,37,2.3,3.6666666666666665,2.75,2.4166666666666665,9
Female,26,3.7,3.6666666666666665,1.75,2.8333333333333335,26
Female,26,4.4,4.416666666666667,3.25,3.1666666666666665,32
Male,30,4.1,3.9166666666666665,4,3,32
Female,33,3.7,3.75,3.625,2,33
Female,33,2.5,3.25,2.875,3.5,29
Male,28,3,3.5833333333333335,3,3.75,30
Male,26,3.4,4.916666666666667,1.625,2.5,19
Female,27,3.2,3.5833333333333335,3.25,2.0833333333333335,23
Female,25,2,2.9166666666666665,3.5,2.4166666666666665,19
Female,31,2.4,3.6666666666666665,3,2.5833333333333335,12
Male,20,4.2,4.5,3.25,1.5833333333333333,10
Female,39,1.6,4.083333333333333,1.875,2.8333333333333335,11
Male,38,3.1,3.8333333333333335,4.375,1.8333333333333333,20
Male,24,3.8,3.25,3.625,2.4166666666666665,26
Male,26,3.8,2.3333333333333335,2.5,3.25,31
Male,25,3.3,3.3333333333333335,1.25,3.4166666666666665,20
Female,30,1.7,4.083333333333333,4,3.4166666666666665,23
Female,25,2.5,2.9166666666666665,3,3.1666666666666665,12
Male,30,3.2,3.3333333333333335,2.5,3.5,24
Female,48,3.5,3.8333333333333335,4.875,2.6666666666666665,17
Female,24,3.2,3.6666666666666665,5,2.4166666666666665,29
Female,40,4.2,4.666666666666667,4.375,3.5833333333333335,23
Male,25,3.1,3.75,3.25,2.0833333333333335,28
Female,23,3.9,3.4166666666666665,4,3.75,31
Female,25,1.9,4.166666666666667,3.125,2.9166666666666665,23
Female,23,2.1,2.9166666666666665,2.5,2.9166666666666665,25
Male,27,2.5,4.166666666666667,3.125,2.4166666666666665,18
Male,25,3.2,3.5833333333333335,3.25,3,19
Male,23,3.2,2.8333333333333335,2.125,3.4166666666666665,22
Female,23,2.6,4,2.75,2.9166666666666665,25
Female,23,2.3,2.9166666666666665,2.375,3.25,21
Female,45,3.8,3,3.125,3.25,9
Female,22,2.8,4.083333333333333,4,2.3333333333333335,28
Female,23,3.3,2.9166666666666665,4,3.25,25
