"","ID","Group","time","weight"
"1","1","1",1,240
"2","2","1",1,225
"3","3","1",1,245
"4","4","1",1,260
"5","5","1",1,255
"6","6","1",1,260
"7","7","1",1,275
"8","8","1",1,245
"9","9","2",1,410
"10","10","2",1,405
"11","11","2",1,445
"12","12","2",1,555
"13","13","3",1,470
"14","14","3",1,535
"15","15","3",1,520
"16","16","3",1,510
"17","1","1",8,250
"18","2","1",8,230
"19","3","1",8,250
"20","4","1",8,255
"21","5","1",8,260
"22","6","1",8,265
"23","7","1",8,275
"24","8","1",8,255
"25","9","2",8,415
"26","10","2",8,420
"27","11","2",8,445
"28","12","2",8,560
"29","13","3",8,465
"30","14","3",8,525
"31","15","3",8,525
"32","16","3",8,510
"33","1","1",15,255
"34","2","1",15,230
"35","3","1",15,250
"36","4","1",15,255
"37","5","1",15,255
"38","6","1",15,270
"39","7","1",15,260
"40","8","1",15,260
"41","9","2",15,425
"42","10","2",15,430
"43","11","2",15,450
"44","12","2",15,565
"45","13","3",15,475
"46","14","3",15,530
"47","15","3",15,530
"48","16","3",15,520
"49","1","1",22,260
"50","2","1",22,232
"51","3","1",22,255
"52","4","1",22,265
"53","5","1",22,270
"54","6","1",22,275
"55","7","1",22,270
"56","8","1",22,268
"57","9","2",22,428
"58","10","2",22,440
"59","11","2",22,452
"60","12","2",22,580
"61","13","3",22,485
"62","14","3",22,533
"63","15","3",22,540
"64","16","3",22,515
"65","1","1",29,262
"66","2","1",29,240
"67","3","1",29,262
"68","4","1",29,265
"69","5","1",29,270
"70","6","1",29,275
"71","7","1",29,273
"72","8","1",29,270
"73","9","2",29,438
"74","10","2",29,448
"75","11","2",29,455
"76","12","2",29,590
"77","13","3",29,487
"78","14","3",29,535
"79","15","3",29,543
"80","16","3",29,530
"81","1","1",36,258
"82","2","1",36,240
"83","3","1",36,265
"84","4","1",36,268
"85","5","1",36,273
"86","6","1",36,277
"87","7","1",36,274
"88","8","1",36,265
"89","9","2",36,443
"90","10","2",36,460
"91","11","2",36,455
"92","12","2",36,597
"93","13","3",36,493
"94","14","3",36,540
"95","15","3",36,546
"96","16","3",36,538
"97","1","1",43,266
"98","2","1",43,243
"99","3","1",43,267
"100","4","1",43,270
"101","5","1",43,274
"102","6","1",43,278
"103","7","1",43,276
"104","8","1",43,265
"105","9","2",43,442
"106","10","2",43,458
"107","11","2",43,451
"108","12","2",43,595
"109","13","3",43,493
"110","14","3",43,525
"111","15","3",43,538
"112","16","3",43,535
"113","1","1",44,266
"114","2","1",44,244
"115","3","1",44,267
"116","4","1",44,272
"117","5","1",44,273
"118","6","1",44,278
"119","7","1",44,271
"120","8","1",44,267
"121","9","2",44,446
"122","10","2",44,464
"123","11","2",44,450
"124","12","2",44,595
"125","13","3",44,504
"126","14","3",44,530
"127","15","3",44,544
"128","16","3",44,542
"129","1","1",50,265
"130","2","1",50,238
"131","3","1",50,264
"132","4","1",50,274
"133","5","1",50,276
"134","6","1",50,284
"135","7","1",50,282
"136","8","1",50,273
"137","9","2",50,456
"138","10","2",50,475
"139","11","2",50,462
"140","12","2",50,612
"141","13","3",50,507
"142","14","3",50,543
"143","15","3",50,553
"144","16","3",50,550
"145","1","1",57,272
"146","2","1",57,247
"147","3","1",57,268
"148","4","1",57,273
"149","5","1",57,278
"150","6","1",57,279
"151","7","1",57,281
"152","8","1",57,274
"153","9","2",57,468
"154","10","2",57,484
"155","11","2",57,466
"156","12","2",57,618
"157","13","3",57,518
"158","14","3",57,544
"159","15","3",57,555
"160","16","3",57,553
"161","1","1",64,278
"162","2","1",64,245
"163","3","1",64,269
"164","4","1",64,275
"165","5","1",64,280
"166","6","1",64,281
"167","7","1",64,284
"168","8","1",64,278
"169","9","2",64,478
"170","10","2",64,496
"171","11","2",64,472
"172","12","2",64,628
"173","13","3",64,525
"174","14","3",64,559
"175","15","3",64,548
"176","16","3",64,569
